source,target,weight
L000585,P000599,8
E000071,L000585,4
L000585,W000828,3
L000585,W000814,6
G000565,L000585,5
G000593,L000585,3
L000585,L000597,3
G000377,L000585,1
K000398,L000585,3
E000246,L000585,4
B001282,S000522,1
P000599,S000522,3
E000071,S000522,1
S000522,W000828,1
S000522,W000814,3
G000565,S000522,3
G000593,S000522,1
L000597,S000522,1
G000377,S000522,1
K000398,S000522,2
E000246,S000522,1
B001282,P000599,5
B001282,E000071,3
B001282,W000828,2
B001282,W000814,5
B001282,G000565,5
B001282,G000593,3
B001282,L000597,2
B001282,G000377,1
B001282,K000398,2
B001282,E000246,3
E000071,P000599,4
P000599,W000828,3
P000599,W000814,7
G000565,P000599,8
G000593,P000599,3
L000597,P000599,3
G000377,P000599,1
K000398,P000599,3
E000246,P000599,4
E000071,W000828,2
E000071,W000814,5
E000071,G000565,3
E000071,G000593,2
E000071,L000597,2
E000071,G000377,2
E000071,K000398,1
E000071,E000246,3
W000814,W000828,2
G000565,W000828,2
G000593,W000828,2
L000597,W000828,2
G000377,W000828,1
K000398,W000828,1
E000246,W000828,2
G000565,W000814,7
G000593,W000814,3
L000597,W000814,2
G000377,W000814,2
K000398,W000814,2
E000246,W000814,3
G000565,G000593,2
G000565,L000597,2
G000377,G000565,1
G000565,K000398,2
E000246,G000565,5
G000593,L000597,1
G000377,G000593,1
G000593,K000398,2
E000246,G000593,2
G000377,L000597,1
K000398,L000597,1
E000246,L000597,2
G000377,K000398,1
E000246,G000377,1
E000246,K000398,2
B001302,R000614,3
H001052,R000614,3
M001177,R000614,3
B001311,R000614,4
R000610,R000614,2
H001077,R000614,1
D000615,R000614,4
P000605,R000614,4
H001086,R000614,4
G000578,R000614,3
C001118,R000614,3
G000576,R000614,2
C001120,R000614,2
H001091,R000614,1
F000469,R000614,2
E000071,R000614,1
R000614,S001196,1
F000471,R000614,1
M001211,R000614,2
H001067,R000614,3
G000577,R000614,1
R000614,S001212,3
B001291,R000614,1
G000589,R000614,1
R000614,V000133,1
G000596,R000614,2
C001103,R000614,3
J000304,R000614,2
L000589,R000614,3
O000175,R000614,2
M001199,R000614,3
B000825,R000614,3
R000614,V000134,1
N000190,R000614,4
R000103,R000614,3
G000595,R000614,3
L000596,R000614,3
R000614,T000165,1
B001306,R000614,1
R000612,R000614,1
J000302,R000614,2
H001082,R000614,3
R000614,Z000018,1
G000590,R000614,2
H001096,R000614,3
L000603,R000614,3
C001115,R000614,4
I000056,R000614,2
H001095,R000614,1
C001054,R000614,2
P000599,R000614,2
R000614,S001214,2
A000375,R000614,2
R000614,S000250,3
B001317,R000614,4
B001248,R000614,2
G000558,R000614,3
C001039,R000614,3
R000614,W000814,3
J000299,R000614,2
L000564,R000614,1
D000032,R000614,1
R000614,W000816,1
M001218,R000614,1
C001126,R000614,1
L000585,R000614,1
F000474,R000614,2
D000594,R000614,3
K000388,R000614,2
C001132,R000614,1
C001129,R000614,1
R000614,S001224,2
M000194,R000614,1
B001302,H001052,5
B001302,M001177,5
B001302,B001311,7
B001302,R000610,8
B001302,H001077,5
B001302,D000615,12
B001302,P000605,9
B001302,H001086,8
B001302,G000578,5
B001302,C001118,8
B001302,G000576,7
B001302,C001120,5
B001302,H001091,3
B001302,F000469,4
B001302,E000071,3
B001302,S001196,3
B001302,F000471,4
B001302,M001211,6
B001302,H001067,6
B001302,G000577,3
B001302,S001212,6
B001291,B001302,5
B001302,G000589,4
B001302,V000133,3
B001302,G000596,5
B001302,C001103,7
B001302,J000304,8
B001302,L000589,8
B001302,O000175,7
B001302,M001199,5
B000825,B001302,8
B001302,V000134,4
B001302,N000190,9
B001302,R000103,4
B001302,G000595,7
B001302,L000596,6
B001302,T000165,4
B001302,B001306,5
B001302,R000612,5
B001302,J000302,5
B001302,H001082,5
B001302,Z000018,3
B001302,G000590,4
B001302,H001096,4
B001302,L000603,6
B001302,C001115,6
B001302,I000056,4
B001302,H001095,2
B001302,C001054,6
B001302,P000599,8
B001302,S001214,6
A000375,B001302,5
B001302,S000250,8
B001302,B001317,4
B001248,B001302,3
B001302,G000558,6
B001302,C001039,8
B001302,W000814,8
B001302,J000299,4
B001302,L000564,5
B001302,D000032,4
B001302,W000816,4
B001302,M001218,1
B001302,C001126,4
B001302,L000585,5
B001302,F000474,3
B001302,D000594,5
B001302,K000388,4
B001302,C001132,4
B001302,C001129,5
B001302,S001224,5
B001302,M000194,4
H001052,M001177,3
B001311,H001052,5
H001052,R000610,5
H001052,H001077,3
D000615,H001052,6
H001052,P000605,5
H001052,H001086,6
G000578,H001052,4
C001118,H001052,6
G000576,H001052,5
C001120,H001052,5
H001052,H001091,3
F000469,H001052,4
E000071,H001052,3
H001052,S001196,3
F000471,H001052,4
H001052,M001211,5
H001052,H001067,5
G000577,H001052,3
H001052,S001212,5
B001291,H001052,4
G000589,H001052,3
H001052,V000133,3
G000596,H001052,2
C001103,H001052,4
H001052,J000304,4
H001052,L000589,5
H001052,O000175,4
H001052,M001199,6
B000825,H001052,5
H001052,V000134,3
H001052,N000190,5
H001052,R000103,4
G000595,H001052,4
H001052,L000596,4
H001052,T000165,4
B001306,H001052,3
H001052,R000612,4
H001052,J000302,4
H001052,H001082,5
H001052,Z000018,3
G000590,H001052,4
H001052,H001096,3
H001052,L000603,4
C001115,H001052,5
H001052,I000056,4
H001052,H001095,2
C001054,H001052,4
H001052,P000599,4
H001052,S001214,3
A000375,H001052,4
H001052,S000250,6
B001317,H001052,4
B001248,H001052,2
G000558,H001052,5
C001039,H001052,6
H001052,W000814,6
H001052,J000299,3
H001052,L000564,4
D000032,H001052,2
H001052,W000816,4
H001052,M001218,1
C001126,H001052,2
H001052,L000585,4
F000474,H001052,2
D000594,H001052,4
H001052,K000388,3
C001132,H001052,4
C001129,H001052,3
H001052,S001224,4
H001052,M000194,2
B001311,M001177,4
H001077,M001177,2
D000615,M001177,5
M001177,P000605,5
H001086,M001177,5
G000578,M001177,3
C001118,M001177,4
G000576,M001177,3
H001091,M001177,2
F000469,M001177,4
M001177,M001211,2
H001067,M001177,4
G000577,M001177,2
B001291,M001177,2
G000589,M001177,2
M001177,V000133,2
C001103,M001177,4
J000304,M001177,3
M001177,O000175,3
M001177,M001199,3
B000825,M001177,3
M001177,N000190,5
M001177,R000103,4
G000595,M001177,3
L000596,M001177,5
B001306,M001177,2
M001177,R000612,2
H001082,M001177,4
M001177,Z000018,3
G000590,M001177,3
H001096,M001177,5
L000603,M001177,4
C001115,M001177,4
H001095,M001177,3
C001054,M001177,4
M001177,S001214,4
A000375,M001177,4
M001177,S000250,3
B001317,M001177,3
B001248,M001177,3
G000558,M001177,4
L000564,M001177,3
D000032,M001177,2
M001177,W000816,2
M001177,M001218,1
C001126,M001177,3
F000474,M001177,3
D000594,M001177,5
K000388,M001177,2
C001132,M001177,2
C001129,M001177,2
M001177,S001224,3
M000194,M001177,2
B001311,R000610,5
B001311,H001077,3
B001311,D000615,9
B001311,P000605,7
B001311,H001086,7
B001311,G000578,5
B001311,C001118,6
B001311,G000576,4
B001311,C001120,5
B001311,H001091,3
B001311,F000469,3
B001311,E000071,3
B001311,S001196,3
B001311,F000471,3
B001311,M001211,5
B001311,H001067,5
B001311,G000577,2
B001311,S001212,5
B001291,B001311,3
B001311,G000589,3
B001311,V000133,3
B001311,G000596,3
B001311,C001103,6
B001311,J000304,5
B001311,L000589,5
B001311,O000175,6
B001311,M001199,5
B000825,B001311,5
B001311,V000134,3
B001311,N000190,7
B001311,R000103,5
B001311,G000595,5
B001311,L000596,5
B001311,T000165,3
B001306,B001311,4
B001311,R000612,3
B001311,J000302,4
B001311,H001082,5
B001311,Z000018,3
B001311,G000590,4
B001311,H001096,4
B001311,L000603,6
B001311,C001115,6
B001311,I000056,4
B001311,H001095,2
B001311,C001054,3
B001311,P000599,5
B001311,S001214,4
A000375,B001311,5
B001311,S000250,6
B001311,B001317,5
B001248,B001311,3
B001311,G000558,5
B001311,C001039,6
B001311,W000814,6
B001311,J000299,4
B001311,L000564,4
B001311,D000032,2
B001311,W000816,3
B001311,M001218,1
B001311,C001126,2
B001311,L000585,3
B001311,F000474,3
B001311,D000594,5
B001311,K000388,3
B001311,C001132,3
B001311,C001129,4
B001311,S001224,4
B001311,M000194,3
H001077,R000610,4
D000615,R000610,7
P000605,R000610,6
H001086,R000610,7
G000578,R000610,4
C001118,R000610,7
G000576,R000610,6
H001091,R000610,3
F000469,R000610,5
M001211,R000610,5
H001067,R000610,6
G000577,R000610,5
B001291,R000610,5
G000589,R000610,5
R000610,V000133,3
C001103,R000610,6
J000304,R000610,6
O000175,R000610,7
M001199,R000610,5
B000825,R000610,8
N000190,R000610,7
R000103,R000610,5
G000595,R000610,4
L000596,R000610,6
B001306,R000610,5
R000610,R000612,6
H001082,R000610,5
R000610,Z000018,4
G000590,R000610,4
H001096,R000610,4
L000603,R000610,5
C001115,R000610,5
H001095,R000610,3
C001054,R000610,7
R000610,S001214,3
A000375,R000610,4
R000610,S000250,8
B001317,R000610,3
B001248,R000610,2
G000558,R000610,6
L000564,R000610,6
D000032,R000610,4
R000610,W000816,5
M001218,R000610,1
C001126,R000610,4
F000474,R000610,2
D000594,R000610,6
K000388,R000610,3
C001132,R000610,4
C001129,R000610,4
R000610,S001224,4
M000194,R000610,4
D000615,H001077,4
H001077,P000605,4
H001077,H001086,4
G000578,H001077,2
C001118,H001077,4
G000576,H001077,5
C001120,H001077,3
H001077,H001091,3
F000469,H001077,2
E000071,H001077,3
H001077,S001196,3
F000471,H001077,3
H001077,M001211,3
H001067,H001077,3
G000577,H001077,2
H001077,S001212,4
B001291,H001077,3
G000589,H001077,4
H001077,V000133,3
G000596,H001077,3
C001103,H001077,4
H001077,J000304,3
H001077,L000589,4
H001077,O000175,3
H001077,M001199,3
B000825,H001077,3
H001077,V000134,3
H001077,N000190,4
H001077,R000103,2
G000595,H001077,2
H001077,L000596,4
H001077,T000165,4
B001306,H001077,4
H001077,R000612,4
H001077,J000302,3
H001077,H001082,3
H001077,Z000018,3
G000590,H001077,3
H001077,H001096,2
H001077,L000603,3
C001115,H001077,4
H001077,I000056,3
H001077,H001095,2
C001054,H001077,3
H001077,P000599,4
H001077,S001214,3
A000375,H001077,2
H001077,S000250,5
B001317,H001077,2
B001248,H001077,2
G000558,H001077,3
C001039,H001077,3
H001077,W000814,3
H001077,J000299,3
